iter	Passed	Remaining
588	1757	1226
589	1759	1222
590	1761	1219
591	1763	1215
592	1765	1211
593	1766	1207
594	1767	1202
595	1768	1198
596	1769	1194
597	1770	1190
598	1771	1186
599	1772	1181
600	1773	1177
601	1774	1173
602	1775	1169
603	1776	1164
604	1777	1160
605	1779	1156
606	1780	1152
607	1781	1148
608	1782	1144
609	1783	1140
610	1784	1136
611	1785	1131
612	1786	1127
613	1787	1123
614	1788	1119
615	1789	1115
616	1790	1111
617	1791	1107
618	1793	1103
619	1794	1100
620	1795	1096
621	1796	1092
622	1798	1088
623	1799	1084
624	1800	1080
625	1801	1076
626	1802	1072
627	1803	1068
628	1804	1064
629	1805	1060
630	1806	1056
631	1807	1052
632	1808	1048
633	1811	1045
634	1813	1042
635	1816	1039
636	1818	1036
637	1820	1032
638	1822	1029
639	1824	1026
640	1826	1023
641	1828	1019
642	1831	1016
643	1833	1013
644	1835	1010
645	1837	1006
646	1839	1003
647	1841	1000
648	1844	997
649	1847	994
650	1849	991
651	1851	988
652	1853	984
653	1855	981
654	1858	978
655	1860	975
656	1862	972
657	1864	968
658	1865	965
659	1867	962
660	1871	959
661	1873	956
662	1876	953
663	1878	950
664	1879	947
665	1881	943
666	1883	940
667	1886	937
668	1888	934
669	1890	931
670	1892	927
671	1893	924
672	1895	921
673	1897	917
674	1899	914
675	1902	911
676	1904	908
677	1906	905
678	1908	902
679	1909	898
680	1911	895
681	1914	892
682	1917	889
683	1921	887
684	1923	884
685	1925	881
686	1926	877
687	1928	874
688	1930	871
689	1933	868
690	1936	865
691	1938	862
692	1940	859
693	1941	856
694	1943	852
695	1944	849
696	1947	846
697	1949	843
698	1951	840
699	1953	837
700	1955	833
701	1956	830
702	1958	827
703	1960	824
704	1964	821
705	1966	818
706	1967	815
707	1969	812
708	1972	809
709	1974	806
710	1977	803
711	1979	800
712	1981	797
713	1983	794
714	1986	791
715	1988	788
716	1990	785
717	1992	782
718	1994	779
719	1996	776
720	1998	773
721	2000	770
722	2002	767
723	2003	763
724	2005	760
725	2007	757
726	2009	754
727	2011	751
728	2013	748
729	2014	745
730	2016	742
731	2018	739
732	2021	736
733	2022	733
734	2025	730
735	2027	727
736	2029	724
737	2032	721
738	2034	718
739	2036	715
740	2038	712
741	2040	709
742	2042	706
743	2044	703
744	2045	700
745	2047	697
746	2049	693
747	2050	690
748	2055	688
749	2057	685
750	2060	683
751	2061	679
752	2063	677
753	2065	673
754	2067	670
755	2069	668
756	2072	665
757	2074	662
758	2075	659
759	2077	656
760	2079	652
761	2080	649
762	2083	647
763	2088	645
764	2089	641
765	2092	639
766	2094	636
767	2096	633
768	2098	630
769	2101	627
770	2103	624
771	2105	621
772	2106	618
773	2109	615
774	2111	613
775	2113	610
776	2116	607
777	2117	604
778	2119	601
779	2121	598
780	2122	595
781	2124	592
782	2125	589
783	2127	586
784	2132	584
785	2134	581
786	2136	578
787	2138	575
788	2140	572
789	2142	569
790	2145	566
791	2147	564
792	2150	561
793	2151	558
794	2154	555
795	2155	552
796	2157	549
797	2160	546
798	2163	544
799	2165	541
800	2167	538
801	2168	535
802	2170	532
803	2172	529
804	2176	527
805	2178	524
806	2180	521
807	2184	519
808	2186	516
809	2188	513
810	2191	510
811	2194	508
812	2196	505
813	2198	502
814	2200	499
815	2203	496
816	2206	494
817	2208	491
818	2210	488
819	2212	485
820	2214	482
821	2215	479
822	2217	476
823	2218	473
824	2220	470
825	2221	468
826	2223	465
827	2224	462
828	2225	459
829	2226	456
830	2228	453
831	2229	450
832	2230	447
833	2231	444
834	2232	441
835	2233	438
836	2234	435
837	2236	432
838	2238	429
839	2240	426
840	2241	423
841	2242	420
842	2243	417
843	2244	414
844	2247	412
845	2250	409
846	2253	406
847	2256	404
848	2259	401
849	2262	399
850	2265	396
851	2271	394
852	2275	392
853	2279	389
854	2284	387
855	2287	384
856	2290	382
857	2293	379
858	2296	376
859	2301	374
860	2305	372
861	2310	369
862	2313	367
863	2317	364
864	2320	362
865	2323	359
866	2325	356
867	2328	354
868	2332	351
869	2335	349
870	2341	346
871	2346	344
872	2350	341
873	2355	339
874	2360	337
875	2363	334
876	2365	331
877	2370	329
878	2373	326
879	2376	324
880	2379	321
881	2381	318
882	2383	315
883	2387	313
884	2391	310
885	2393	307
886	2395	305
887	2397	302
888	2400	299
889	2403	297
890	2406	294
891	2409	291
892	2412	289
893	2418	286
894	2422	284
895	2424	281
896	2429	279
897	2433	276
898	2435	273
899	2438	270
900	2440	268
901	2441	265
902	2444	262
903	2449	260
904	2453	257
905	2456	254
906	2459	252
907	2461	249
908	2466	246
909	2468	244
910	2471	241
911	2473	238
912	2477	236
913	2480	233
914	2483	230
915	2485	227
916	2487	225
917	2489	222
918	2492	219
919	2495	216
920	2498	214
921	2500	211
922	2503	208
923	2505	206
924	2507	203
925	2510	200
926	2514	198
927	2516	195
928	2518	192
929	2520	189
930	2523	186
931	2525	184
932	2531	181
933	2534	179
934	2536	176
935	2540	173
936	2543	171
937	2546	168
938	2549	165
939	2553	163
940	2556	160
941	2562	157
942	2565	155
943	2570	152
944	2573	149
945	2575	147
946	2577	144
947	2580	141
948	2582	138
949	2584	136
950	2586	133
951	2589	130
952	2590	127
953	2592	125
954	2595	122
955	2597	119
956	2599	116
957	2601	114
958	2603	111
959	2605	108
960	2607	105
961	2609	103
962	2611	100
963	2613	97
964	2615	94
965	2617	92
966	2619	89
967	2622	86
968	2624	83
969	2626	81
970	2628	78
971	2631	75
972	2633	73
973	2635	70
974	2638	67
975	2640	64
976	2642	62
977	2644	59
978	2646	56
979	2649	54
980	2652	51
981	2653	48
982	2655	45
983	2657	43
984	2660	40
985	2663	37
986	2665	35
987	2667	32
988	2669	29
989	2671	26
990	2673	24
991	2675	21
992	2677	18
993	2679	16
994	2681	13
995	2683	10
996	2685	8
997	2688	5
998	2692	2
999	2697	0
